case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,wall_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions
116,rand1800,12,12,12,8694.392,339,12,1,25,5642.106143137895,0.45222149998880923,6625.392337035585,3808.1061431378953,2817.2861938976916,1695.0,314.0,60.0,0
117,rand1800,12,12,12,9784.475,436,12,1,25,5828.644274496777,0.35922139999456704,7130.475458202278,3765.644274496778,3364.831183705504,2180.0,414.0,60.0,0
118,rand1800,12,12,12,7591.902,324,12,1,25,5606.644274496778,0.29428319999715313,5595.901960700589,3765.644274496778,1830.2576862038127,1620.0,316.0,60.0,0
119,rand1800,12,12,12,8505.829,367,12,1,25,5818.055348385718,0.27122419999795966,6253.829392220739,3792.0553483857193,2461.7740438350197,1835.0,357.0,60.0,0
120,rand1800,12,12,12,7521.644,302,12,1,25,5468.644274496778,0.25218380001024343,5656.643603471798,3765.644274496778,1890.99932897502,1510.0,295.0,60.0,0
121,rand1800,12,12,12,7924.009,370,12,1,25,5930.529462346372,0.1702322000055574,5647.009006123828,3766.5294623463724,1880.4795437774549,1850.0,367.0,60.0,0
122,rand1800,12,12,12,8163.021,338,12,1,25,5631.037635350082,0.2805579999985639,6092.021276097668,3773.0376353500824,2318.9836407475864,1690.0,321.0,60.0,0
123,rand1800,12,12,12,8549.437,366,12,1,25,5744.644274496778,0.5710230999975465,6319.437027215492,3765.644274496778,2553.7927527187153,1830.0,340.0,60.0,0
124,rand1800,12,12,12,7653.025,284,12,1,25,5354.715789891913,0.28846530002192594,5902.025127913424,3778.7157898919127,2123.3093380215128,1420.0,271.0,60.0,0
125,rand1800,12,12,12,7599.95,321,12,1,25,5558.644274496778,0.3250490000064019,5625.950496874368,3765.644274496778,1860.3062223775903,1605.0,309.0,60.0,0
126,rand1800,12,12,12,8030.054,370,12,1,25,5864.016017239137,0.44954850000794977,5767.05449906,3791.016017239138,1976.0384818208627,1850.0,353.0,60.0,0
127,rand1800,12,12,12,8350.079,321,12,1,25,5600.644274496778,0.21002359999693,6371.078883040067,3765.644274496778,2605.43460854329,1605.0,314.0,60.0,0
128,rand1800,12,12,12,7460.552,302,12,1,25,5510.999052284031,0.18430910000461154,5591.552228687297,3766.999052284031,1824.5531764032655,1510.0,299.0,60.0,0
129,rand1800,12,12,12,8472.65,387,12,1,25,5744.684497355676,0.37678049999522045,6103.650136712425,3802.6844973556767,2300.965639356747,1935.0,374.0,60.0,0
130,rand1800,12,12,12,8683.067,361,12,1,25,5642.644274496778,0.33704510002280585,6476.066740234024,3765.644274496778,2710.4224657372465,1805.0,342.0,60.0,0
131,rand1800,12,12,12,8352.584,358,12,1,25,5804.644274496777,0.22651210002368316,6152.58435183521,3765.644274496778,2386.9400773384355,1790.0,350.0,60.0,0
132,rand1800,12,12,12,7741.33,358,12,1,25,5871.871169908132,0.17970039998181164,5538.330042512374,3786.8711699081337,1751.4588726042414,1790.0,353.0,60.0,0
133,rand1800,12,12,12,8199.109,354,12,1,25,5761.954593554349,0.2503836000105366,6029.108581062566,3765.954593554349,2263.153987508217,1770.0,340.0,60.0,0
134,rand1800,12,12,12,8035.32,332,12,1,25,5654.644274496778,0.22658139999839477,5991.319906512185,3765.644274496778,2225.6756320154086,1660.0,324.0,60.0,0
135,rand1800,12,12,12,8094.868,349,12,1,25,5728.491620050792,0.369749099976616,5957.867872790792,3780.491620050793,2177.37625274,1745.0,332.0,60.0,0
136,rand1800,12,12,12,7718.895,322,12,1,25,5616.589348302256,0.22360300002037548,5733.895082775094,3776.589348302257,1957.3057344728372,1610.0,315.0,60.0,0
137,rand1800,12,12,12,8211.466,391,12,1,25,6039.500395176247,0.20706059999065474,5813.466304102863,3786.5003951762474,2026.9659089266152,1955.0,383.0,60.0,0
138,rand1800,12,12,12,7655.444,351,12,1,25,5774.644274496777,0.27215470001101494,5496.444381949426,3765.644274496778,1730.800107452648,1755.0,344.0,60.0,0
139,rand1800,12,12,12,7501.408,331,12,1,25,5630.280680820918,0.32508619999862276,5467.407769957145,3766.2806808209184,1701.1270891362283,1655.0,319.0,60.0,0
140,rand1800,12,12,12,8152.435,377,12,1,25,5900.644274496777,0.32773269998142496,5843.4349214395015,3765.644274496778,2077.7906469427257,1885.0,364.0,60.0,0
141,rand1800,12,12,12,8361.007,351,12,1,25,5787.194860067094,0.30133229997591116,6208.007142343142,3810.1948600670944,2397.81228227605,1755.0,338.0,60.0,0
142,rand1800,12,12,12,9024.439,377,12,1,25,5810.644274496777,0.43220239999936894,6729.438910896644,3765.644274496778,2963.7946363998703,1885.0,350.0,60.0,0
143,rand1800,12,12,12,7807.08,339,12,1,25,5670.666329699248,0.3151168000185862,5727.0804607643395,3770.6663296992488,1956.4141310650914,1695.0,325.0,60.0,0
144,rand1800,12,12,12,7565.722,309,12,1,25,5554.572313156092,0.2795131000166293,5658.7224837934555,3798.572313156092,1860.1501706373656,1545.0,302.0,60.0,0
145,rand1800,12,12,12,7892.726,317,12,1,25,5526.536936679667,0.29107129998737946,5948.726131150354,3776.536936679667,2172.1891944706886,1585.0,299.0,60.0,0
146,rand1800,12,12,12,8398.459,355,12,1,25,5768.644274496777,0.24346630001673475,6220.459017087425,3765.644274496778,2454.814742590647,1775.0,343.0,60.0,0
147,rand1800,12,12,12,8016.516,340,12,1,25,5635.046543157677,0.3333880999998655,5934.516296507233,3771.0465431576768,2163.4697533495564,1700.0,322.0,60.0,0
148,rand1800,12,12,12,7644.994,349,12,1,25,5744.644274496777,0.250164400000358,5501.994479081657,3765.644274496778,1736.3502045848759,1745.0,338.0,60.0,0
149,rand1800,12,12,12,8705.616,323,12,1,25,5522.644274496778,0.3222030999895651,6728.616234655869,3765.644274496778,2962.9719601590914,1615.0,302.0,60.0,0
150,rand1800,12,12,12,9073.642,380,12,1,25,5726.644274496778,0.36693339998601004,6761.641579991957,3765.644274496778,2995.9973054951806,1900.0,352.0,60.0,0
151,rand1800,12,12,12,8290.968,351,12,1,25,5756.644274496777,0.25360930000897497,6135.968494746237,3765.644274496778,2370.3242202494603,1755.0,340.0,60.0,0
152,rand1800,12,12,12,8088.659,340,12,1,25,5690.644274496778,0.2275194000103511,5994.658605386317,3765.644274496778,2229.0143308895367,1700.0,334.0,60.0,0
153,rand1800,12,12,12,7793.863,343,12,1,25,5720.644274496777,0.3108860999927856,5684.863044672448,3765.644274496778,1919.21877017567,1715.0,334.0,60.0,0
154,rand1800,12,12,12,8513.201,380,12,1,25,5900.644274496777,0.2672921000048518,6184.20076348672,3765.644274496778,2418.5564889899406,1900.0,369.0,60.0,0
155,rand1800,12,12,12,8014.806,308,12,1,25,5480.644274496778,0.2991267000033986,6118.8055871336055,3765.644274496778,2353.1613126368306,1540.0,296.0,60.0,0
156,rand1800,12,12,12,8297.89,406,12,1,25,6026.644274496777,0.3024742000270635,5818.890202972441,3765.644274496778,2053.245928475662,2030.0,389.0,60.0,0
157,rand1800,12,12,12,8274.407,338,12,1,25,5666.644274496778,0.27429440000560135,6198.406676785348,3765.644274496778,2432.7624022885716,1690.0,326.0,60.0,0
158,rand1800,12,12,12,8341.32,357,12,1,25,5648.644274496778,0.3432983999955468,6162.320072866315,3765.644274496778,2396.6757983695366,1785.0,334.0,60.0,0
159,rand1800,12,12,12,8369.77,343,12,1,25,5743.584189197417,0.262946800008649,6265.769906489686,3808.5841891974173,2457.1857172922705,1715.0,329.0,60.0,0
