case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,wall_time_s
191,L1100_C2,16,16,16,7501.734,264,16,1,19,0.4471684999880381
192,L1100_C2,16,16,16,7954.831,279,16,1,19,0.3410409000061918
193,L1100_C2,16,16,16,7923.53,221,16,1,19,0.5031346000032499
194,L1100_C2,16,16,16,8150.653,280,16,1,19,0.5192202999896836
195,L1100_C2,16,16,16,7428.341,248,16,1,19,0.3989483999903314
196,L1100_C2,16,16,16,8055.176,225,16,1,19,0.3406830999883823
197,L1100_C2,16,16,16,6708.041,199,16,1,19,0.14268300001276657
198,L1100_C2,16,16,16,7521.816,221,16,1,19,0.29689140000846237
199,L1100_C2,16,16,16,9299.499,403,16,1,19,0.5781674000027124
200,L1100_C2,16,16,16,8669.33,293,16,1,19,0.40015229998971336
