case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,wall_time_s
87,L1100_C2,15,15,15,7779.853,241,15,1,19,5225.582078576789,6280.8525332847275,1205.0,219.0,75.0,0,0.6101014000014402
87,L1000_C2,15,15,15,10818.512,284,15,1,31,8681.96105996798,9047.511989578765,1420.0,276.0,75.0,0,0.33137700002407655
88,L1100_C2,10,10,10,8432.313,317,10,1,19,5579.0,6504.313285475433,1585.0,293.0,50.0,0,0.43542059999890625
88,L1000_C2,10,10,10,11660.082,409,10,1,31,9426.560423726694,9165.082216780631,2045.0,400.0,50.0,0,0.328754599991953
89,L1100_C2,13,13,13,8398.663,290,13,1,19,5350.390060547481,6609.662920004661,1450.0,274.0,65.0,0,0.6797994999797083
89,L1000_C2,13,13,13,11856.75,346,13,1,31,8963.283872298414,9740.749799138095,1730.0,321.0,65.0,0,0.5607833000249229
90,L1100_C2,12,12,12,7962.921,288,12,1,19,5399.0,6202.920637804067,1440.0,260.0,60.0,0,0.7265182999835815
90,L1000_C2,12,12,12,11269.563,381,12,1,31,9280.458782049407,8931.563074880305,1905.0,373.0,60.0,0,0.38578029998461716
91,L1100_C2,15,15,15,7672.751,269,15,1,19,5338.067938374264,5988.750859625925,1345.0,264.0,75.0,0,0.35022429999662563
91,L1000_C2,15,15,15,11233.572,344,15,1,31,8805.702890030465,9108.571905650962,1720.0,330.0,75.0,0,0.5794103000080213
92,L1100_C2,15,15,15,8337.844,274,15,1,19,5298.36759482902,6633.8442331225015,1370.0,259.0,75.0,0,0.42724509999970905
92,L1000_C2,15,15,15,11217.392,303,15,1,31,8770.557453711303,9337.39210836941,1515.0,290.0,75.0,0,0.5197711999935564
93,L1100_C2,15,15,15,7884.425,239,15,1,19,5213.990858147796,6404.425334210239,1195.0,210.0,75.0,0,0.7039906999852974
93,L1000_C2,15,15,15,10839.691,287,15,1,31,8715.669467983671,9053.69090619676,1435.0,276.0,75.0,0,0.3978730000089854
94,L1100_C2,11,11,11,7271.216,235,11,1,19,5303.0,5808.215884363842,1175.0,233.0,55.0,0,0.2307114000141155
94,L1000_C2,11,11,11,11356.839,350,11,1,31,9084.560423726694,9207.838673491968,1750.0,344.0,55.0,0,0.27132949998485856
95,L1100_C2,12,12,12,8195.159,311,12,1,19,5519.0,6293.159242461015,1555.0,287.0,60.0,0,0.49994939999305643
95,L1000_C2,12,12,12,10866.119,390,12,1,31,9481.199457585855,8473.118894429621,1950.0,383.0,60.0,0,0.11895709999953397
96,L1100_C2,11,11,11,7738.497,296,11,1,19,5668.729972940315,5911.497349758412,1480.0,292.0,55.0,0,0.307085599983111
96,L1000_C2,11,11,11,11747.909,438,11,1,31,9618.929915539105,9071.908920207386,2190.0,431.0,55.0,0,0.34230949997436255
97,L1100_C2,12,12,12,7443.274,250,12,1,19,5345.0,5893.273950969711,1250.0,240.0,60.0,0,0.3003298999974504
97,L1000_C2,12,12,12,11051.49,343,12,1,31,9060.560423726694,8937.489645849662,1715.0,339.0,60.0,0,0.23518620000686496
98,L1100_C2,16,16,16,7173.811,306,16,1,19,2009.8968954771742,5278.811323064767,1530.0,285.0,80.0,0,0.6628245000028983
98,L1000_C2,16,16,16,6801.19,305,16,1,31,1883.0,4908.189663395646,1525.0,288.0,80.0,0,0.7455066000111401
99,L1100_C2,14,14,14,7731.955,253,14,1,19,5315.0,6156.954895872205,1265.0,240.0,70.0,0,0.477006299974164
